n,nsamp,error.rate,error.count,loss,p121,p122,p131,p132,p221,p222,p231,p232
512,0,0.080078125,41,1.19461804432554,-0.6588394565253552,-0.7224428770138654,-0.7154414667208105,0.6892812480528783,-0.7737014345155333,0.7367423770971697,-0.6813757106392193,-0.7924638332135954
512,0,0.087890625,45,1.2820311397001944,-0.6622547144398002,-0.7680740210855449,-0.7581117834717116,0.7163068001523764,-0.8014257468256589,0.6669879270271971,-0.6283458309069598,-0.8326222015424112
512,0,0.068359375,35,1.0956338851607648,-0.6993716411904153,0.7353267530948013,-0.7163370747970514,-0.7434286538862298,-0.7274358966591152,-0.7498614362824718,-0.6971522822868033,0.7677986177417528
512,0,0.1171875,60,1.3659121154479636,-0.6685010524433587,-0.7582182892591945,-0.7352878993473174,0.7340396514752839,-0.7195944379121836,0.7085021975812626,-0.6832725297943593,-0.7681208161470879
512,0,0.09375,48,1.0514834188981912,-0.7109954678093441,-0.7266331715988751,-0.6811202242379634,0.7575574595936592,-0.6978962785877193,0.7506021710602468,-0.7201098295781526,-0.7608103879648838
512,0,0.32421875,166,2.5514207981950277,-0.6697559240484481,0.6887988803659364,-0.7221472681879714,-0.731772720481453,-1.3686771201158,1.4496006218548416,-0.2802024948274915,-0.29801937873748585
512,0,0.115234375,59,1.430001622697232,-0.6534266447124094,0.7667511164095236,-0.7253712226245296,-0.7479805200288119,-0.7040634125975482,-0.7441874603629244,-0.6800085740663309,0.7733220186762151
512,0,0.28515625,146,2.3902485415582815,-0.6875828082771359,-0.7087197789073941,-0.7251390329925086,0.7310244926266494,-1.4023293924485762,-1.406019260319146,-0.27110280492940875,0.3178464958022255
512,0,0.09765625,50,1.0510800931006172,-0.7069451011611501,0.7505732584016771,-0.7070178639085439,-0.7750798120531974,-0.7663357250424704,-0.7199044385530673,-0.6732485683386784,0.7911682232167965
512,0,0.2734375,140,2.5707235023476755,-1.4557473303733208,-1.2670318366316635,-0.21789946693426632,0.3129519937352556,-0.634627461903157,-0.7814280757211776,-0.7257066434494758,0.7703459356962828
512,0,0.107421875,55,1.3069537615567008,-0.62671212088355,-0.723585320989449,-0.7276599761379502,0.7604173126997054,-0.7374992048068842,0.7147670762057527,-0.7031670810817564,-0.7501664635545355
512,0,0.076171875,39,0.9882840990895966,-0.7951881632765812,-0.6780164632358278,-0.6664440774297293,0.7635747246759851,-0.6898398803684918,0.765015007965009,-0.7226241439761141,-0.7854748459132496
512,0,0.0859375,44,1.16042986571502,-0.7533747721086433,0.6860307049317264,-0.6738427134159303,-0.8117979710077822,-0.7297702250234585,-0.790700270888088,-0.705585319244568,0.722067372261985
512,0,0.30078125,154,2.526312532291985,-0.6072940761709265,-0.8100094578628815,-0.722294173430327,0.7643113462746042,-1.5065119226669657,-1.312471225271755,-0.2213191658845766,0.3128388651246921
512,0,0.0859375,44,1.0822656228929453,-0.6880610446217023,-0.7428631905143103,-0.7323106863025223,0.6995946192617255,-0.7333755779163396,0.7160797666011414,-0.6593497813917264,-0.7931113826478497
512,0,0.1015625,52,1.245674283459972,-0.6767273694753865,-0.758108984600573,-0.7158109672201869,0.731882829373289,-0.6965391006847502,0.7885494562999235,-0.7201965078369317,-0.8443293604018817
512,0,0.0859375,44,1.1048365834986584,0.8184599347333547,-0.6912980573943669,0.6384020919440797,0.8148642447170732,0.6187588167113949,0.7589485567906876,0.7504179448683829,-0.6795877685290793
512,0,0.3125,160,2.342388177837206,1.401847807027898,1.391792697225508,0.2671288727384749,-0.3101488048070933,0.6551909272321208,0.725491138727607,0.7312800054489845,-0.7367934559820428
512,0,0.111328125,57,1.197915830843798,-0.6750533586414135,0.6727544096447974,-0.6825783260378896,-0.7174799779435329,-0.6958497542521502,-0.7817747957519596,-0.7405543384541151,0.8009586566667929
512,0,0.099609375,51,1.2850315960061365,-0.6553199102641165,-0.7634187074047567,-0.7412056478966493,0.7179634793842516,-0.683042632346347,0.732083034523399,-0.6855721367731482,-0.7954982029505373
512,0,0.091796875,47,1.033895832537262,-0.6873128569860277,-0.7739840286217841,-0.7187872477719633,0.7643453702132219,-0.7332827886528892,0.7119825545931707,-0.6919246519474653,-0.842781446870867
512,0,0.107421875,55,1.4368952597675633,-0.7283227745137151,-0.7559962786422576,-0.6798042440408636,0.7864393626762188,-0.6563720137538795,0.7405166144563097,-0.7228799886593824,-0.7220882901929172
512,0,0.490234375,251,NA,-0.8454218671601061,-1.927902403134236,-0.6514718771499489,0.7587827487753903,-1.1076841544296336,-0.7639723463270586,-0.2675020631539074,0.3391064376827765
512,0,0.119140625,61,1.1548060192429728,-0.665024080972928,0.7228941590793083,-0.72382650480078925,-0.7643941345784786,-0.705253941546774,-0.7619236609262465,-0.68993428867982,0.8408381030341864
512,0,0.078125,40,1.1230696341661208,-0.6339501159606019,0.7577375711776002,-0.7777495625458091,-0.7552930939219555,-0.737478293727413,-0.7573904797074578,-0.6574008121621341,0.8517912794561069
512,0,0.32421875,166,2.542010900591137,-1.4280436455842962,-1.3358321952509449,-0.25011517234337305,0.2939341456084431,-0.7596203728874451,-0.699157872914137,-0.6651944108766003,0.7964333379727033
512,0,0.337890625,173,2.574115938645797,-0.5230552086723924,0.8126886178426549,-0.6971281652452325,-0.7018142417403616,-1.5277537170379172,1.2195634636752677,-0.22828949358535847,-0.3294091964448427
512,0,0.08984375,46,1.2609989238908683,-0.6812244050373613,-0.7219864454809111,-0.6901992333110205,0.7532764445051768,-0.6979601087234978,0.7357125158618318,-0.7278433972250011,-0.731295647303034
512,0,0.1015625,52,1.2186366665263235,-0.6951725839059594,-0.7133865423936335,-0.7078066027741348,0.7265417914295093,-0.7331562082341478,0.7743689667358109,-0.6800686226839887,-0.7755651324620358
512,0,0.4765625,244,2.655927826028159,-0.6982199032399448,2.147705871596723,-0.6952128029265645,-0.7291053195803421,-1.0093913633320284,0.7406602284778019,-0.2878729983324913,-0.31355291079114017
