n,nsamp,error.rate,error.count
1024,4,0.0751953125,77
1024,4,0.072265625,74
1024,4,0.0595703125,61
512,4,0.3828125,196
512,4,0.439453125,225
512,4,0.09375,48
512,4,0.1015625,52
512,4,0.123046875,63
512,4,0.0703125,36
512,4,0.41796875,214
512,4,0.08203125,42
512,4,0.09765625,50
512,4,0.09375,48
512,4,0.1015625,52
512,4,0.11328125,58
512,4,0.087890625,45
512,4,0.103515625,53
512,4,0.390625,200
512,4,0.080078125,41
512,4,0.080078125,41
512,4,0.107421875,55
512,4,0.08984375,46
512,4,0.060546875,31
512,4,0.0859375,44
512,4,0.08984375,46
512,4,0.09375,48
512,4,0.109375,56
512,4,0.099609375,51
512,4,0.091796875,47
512,4,0.396484375,203
512,4,0.10546875,54
512,4,0.255859375,131
512,4,0.419921875,215
512,4,0.076171875,39
512,4,0.095703125,49
256,4,0.40625,104
256,4,0.3203125,82
256,4,0.125,32
256,4,0.43359375,111
256,4,0.1640625,42
256,4,0.1171875,30
256,4,0.14453125,37
256,4,0.22265625,57
256,4,0.15234375,39
256,4,0.22265625,57
256,4,0.1953125,50
256,4,0.2578125,66
256,4,0.14453125,37
256,4,0.3984375,102
256,4,0.13671875,35
256,4,0.18359375,47
256,4,0.15234375,39
256,4,0.15234375,39
256,4,0.13671875,35
256,4,0.15625,40
256,4,0.13671875,35
256,4,0.2109375,54
256,4,0.12890625,33
256,4,0.140625,36
256,4,0.14453125,37
256,4,0.29296875,75
256,4,0.34765625,89
256,4,0.19140625,49
256,4,0.15234375,39
256,4,0.1015625,26
128,4,0.3125,40
128,4,0.28125,36
128,4,0.2265625,29
128,4,0.4375,56
128,4,0.3671875,47
128,4,0.21875,28
128,4,0.3125,40
128,4,0.234375,30
128,4,0.1953125,25
128,4,0.21875,28
128,4,0.4765625,61
128,4,0.203125,26
128,4,0.421875,54
128,4,0.1953125,25
128,4,0.4609375,59
128,4,0.2890625,37
128,4,0.390625,50
128,4,0.203125,26
128,4,0.34375,44
128,4,0.2421875,31
128,4,0.28125,36
128,4,0.328125,42
128,4,0.1953125,25
128,4,0.2265625,29
128,4,0.3671875,47
128,4,0.1953125,25
128,4,0.265625,34
128,4,0.328125,42
128,4,0.1875,24
128,4,0.3203125,41
128,4,0.2109375,27
128,4,0.2890625,37
2048,6,0.04736328125,97
2048,6,0.044921875,92
2048,6,0.04345703125,89
2048,6,0.05126953125,105
2048,6,0.05078125,104
2048,6,0.04541015625,93
2048,6,0.37939453125,777
2048,6,0.0400390625,82
2048,6,0.04443359375,91
2048,6,0.041015625,84
2048,6,0.03955078125,81
2048,6,0.04052734375,83
2048,6,0.0498046875,102
2048,6,0.03369140625,69
2048,6,0.0361328125,74
2048,6,0.04296875,88
2048,6,0.04541015625,93
2048,6,0.04736328125,97
2048,6,0.03662109375,75
2048,6,0.05126953125,105
2048,6,0.04296875,88
2048,6,0.04296875,88
2048,6,0.04052734375,83
2048,6,0.404296875,828
2048,6,0.04833984375,99
2048,6,0.05517578125,113
2048,6,0.03955078125,81
2048,6,0.04345703125,89
2048,6,0.037109375,76
2048,6,0.4140625,848
2048,6,0.03955078125,81
2048,6,0.04296875,88
1024,6,0.0576171875,59
1024,6,0.0615234375,63
1024,6,0.060546875,62
1024,6,0.06640625,68
1024,6,0.072265625,74
1024,6,0.06640625,68
1024,6,0.3359375,344
1024,6,0.0634765625,65
1024,6,0.0615234375,63
1024,6,0.0654296875,67
1024,6,0.3955078125,405
1024,6,0.068359375,70
1024,6,0.314453125,322
1024,6,0.0576171875,59
1024,6,0.0712890625,73
1024,6,0.0654296875,67
1024,6,0.07421875,76
1024,6,0.3828125,392
1024,6,0.060546875,62
1024,6,0.0712890625,73
1024,6,0.0634765625,65
1024,6,0.060546875,62
1024,6,0.0576171875,59
1024,6,0.05859375,60
1024,6,0.0693359375,71
1024,6,0.0703125,72
1024,6,0.0625,64
1024,6,0.0625,64
1024,6,0.060546875,62
1024,6,0.0654296875,67
1024,6,0.064453125,66
1024,6,0.07421875,76
512,6,0.09375,48
512,6,0.10546875,54
512,6,0.09375,48
512,6,0.38671875,198
512,6,0.3046875,156
512,6,0.087890625,45
512,6,0.078125,40
512,6,0.1015625,52
512,6,0.091796875,47
512,6,0.361328125,185
512,6,0.109375,56
512,6,0.091796875,47
512,6,0.1015625,52
512,6,0.11328125,58
512,6,0.091796875,47
512,6,0.125,64
512,6,0.083984375,43
512,6,0.099609375,51
512,6,0.09375,48
512,6,0.3828125,196
512,6,0.099609375,51
512,6,0.0546875,28
512,6,0.08203125,42
512,6,0.1015625,52
512,6,0.251953125,129
512,6,0.107421875,55
512,6,0.09765625,50
512,6,0.40625,208
512,6,0.080078125,41
512,6,0.109375,56
256,6,0.14453125,37
256,6,0.1484375,38
256,6,0.1484375,38
256,6,0.14453125,37
256,6,0.11328125,29
256,6,0.203125,52
256,6,0.3828125,98
256,6,0.203125,52
256,6,0.13671875,35
256,6,0.1015625,26
256,6,0.19921875,51
256,6,0.1640625,42
256,6,0.328125,84
256,6,0.140625,36
256,6,0.359375,92
256,6,0.16015625,41
256,6,0.140625,36
256,6,0.15234375,39
256,6,0.14453125,37
256,6,0.12890625,33
256,6,0.12109375,31
256,6,0.15625,40
256,6,0.16796875,43
256,6,0.171875,44
256,6,0.17578125,45
256,6,0.125,32
256,6,0.17578125,45
256,6,0.3984375,102
256,6,0.12109375,31
128,6,0.21875,28
128,6,0.2578125,33
128,6,0.21875,28
128,6,0.2265625,29
128,6,0.2265625,29
128,6,0.2734375,35
128,6,0.359375,46
128,6,0.2890625,37
128,6,0.15625,20
