n,nsamp,error.rate,error.count,loss,p121,p122,p131,p132,p221,p222,p231,p232,p321,p322,p331,p332
128,0,0.4453125,57,3.3982234757277854,-1.0935792209904809,-0.5352037034269193,-0.7165664188969159,0.6567230947268675,-0.10833056231274868,-0.500076314695116,-0.8892845820734394,0.3363577937730184,-0.9112435342609192,-1.4796669726748837,-0.6334216514839913,0.4370977572562888
128,0,0.5703125,73,2.7950544033389337,-0.5467140374649023,-0.7178181008698467,-0.8055529444585207,0.5159251972418983,-0.530202648262641,-1.0777703196151662,-0.8411145518981993,0.7003385708108714,-0.998899843099822,-1.2939997360752244,-0.5621616442387781,0.43484464711664
128,0,0.546875,70,3.238276128198793,-0.7330569599549281,1.2316908286438366,-0.7766242210253599,-0.4532933332074784,-0.885670495046861,0.2116409392559162,-0.5683764401404509,0.05493951051525109,-0.5264876114657538,0.4934953510526343,-0.825534784009075,-0.5818364037031651
128,0,0.4375,56,NA,-0.6871399636507993,0.933263530089806,-0.7776595253479716,-0.6396015524080276,-1.0580494078585616,1.1840900288031044,-0.3203877840595643,-0.36598277924719114,-0.8105620044042041,0.786551643018908,-0.8548154998440028,-0.5314171705242225
128,0,0.59375,76,3.128933176662006,-0.8851365402197516,1.3213318020938722,-0.7608590754173603,-0.6978638536748093,-1.0585503178970277,0.7778762091369165,-0.3400085827829807,-0.24514445669230625,-0.803172290107527,0.9624705906796794,-0.6857333359946363,-0.3940166108848183
128,0,0.5,64,NA,0.6873987752046758,1.0436421236794535,0.4744334361134588,-0.35144366705672714,1.0708181175066238,1.3794737225544818,0.6203784401279725,-0.6957202529955806,1.075244778105163,0.21482685633102175,0.5539610743202619,-0.23314381721269284
128,0,0.421875,54,2.6227815684993896,-0.9198180083615464,1.2650453474150285,-0.6543012281759498,-0.4682503851165364,-1.1289650523361925,-0.2370542889071844,-0.6921277167400742,-0.5757569340196397,-0.9194709654204158,0.8368227370098866,-0.2653140193781544,0.00185104828575579
128,0,0.5546875,71,NA,-0.7269437307490891,1.1655257896449982,-0.8873583240196083,-0.6926175010109369,-0.19081496775044676,0.9224859594879352,-0.8380114922481159,-0.2750250186671628,-0.952029098051114,0.40207075696664113,-0.6833722009645776,-0.4715766537173096
128,0,0.46875,60,2.501133556685909,-0.7392284457836841,1.287137471297478,-0.7216762215864583,-0.6493135952450426,-0.8205826671452681,1.1795821153589785,-0.6914316013954578,-0.6768092211933736,-0.901631926439807,0.6043268221762369,-0.20017534909635623,-0.03489343192681285
128,0,0.328125,42,2.6485011779636,-0.8168679350473301,0.2060901694685089,-0.6831879864467614,-0.459731783060957,-0.8523447843797891,1.454487060729522,-0.7386535074139271,-0.6212777693310574,-0.5339201699567041,0.8772847734645977,-0.857881196130786,-0.6449949815552573
128,0,0.4453125,57,2.8819845274590103,-0.00996379129389834,0.8753468851876357,-0.9151785967453392,-0.7082284834764795,-0.7665684857163679,0.7104281655297335,-0.7125323207806891,-0.5879655646025247,-1.1048720779098042,1.1804461811154947,-0.3959977954718312,-0.2188451779464173
128,0,0.5625,72,NA,-0.9919789361721372,0.978647089238742,-0.6588645924586788,-0.35106122102484594,-0.1045336838411612,1.0453217560959251,-0.8136426960758393,-0.7524638644042659,-0.6475183827355312,1.0604565927871492,-0.6597049631653908,-0.32226841543406287
128,0,0.5546875,71,3.1068353336808747,-0.1460633329230625,0.12354415039035804,-0.626370632591573,-0.04356669978359528,-0.698610068308395,1.5487018795935277,-0.7288729464893519,-0.6337967811788684,-0.7588504643555013,1.2082557453432807,-0.78690867861762,-0.6370331636780111
128,0,0.5703125,73,3.052187579296614,-0.7899026741511747,1.190095317054701,-0.8288461982384775,-0.6109253313229939,-0.9264612493293536,1.5896929732519054,-0.5591034217123805,-0.7503025084132632,-0.278125010281027,0.5358044602135845,-0.7777976301803575,-0.3054436913188006
128,0,0.5859375,75,3.245141809130182,1.007634271391913,1.121799966032806,0.6752259195586832,-0.6574097406717329,0.6589503467224898,1.3397193032371284,0.6713347036893523,-0.7160039421603652,0.4415625322115105,0.0959485235015463,0.5420826195678196,0.0697665338345224
128,0,0.4296875,55,2.45507267510699,-0.6273900276310349,-0.8407629885126666,-0.6448937468868224,0.3320949231918723,-1.0438304992246772,-1.3711148055739435,-0.5844027708316645,0.3708969923682654,-1.09656328655674,-0.461469274122746,-0.7375602206645593,0.6049952969075273
128,0,0.40625,52,2.849886728052095,-0.841118866363865,1.2906231720669323,-0.6161773998515957,-0.6203370621123503,-0.7976166883614096,0.9604234596405,-0.7383906155505072,-0.7437294775945444,-0.6440372290533877,0.5374344459966376,-0.698934399523062,-0.4842609599315246
128,0,0.265625,34,2.2932390104379614,-0.856902109835095,-0.6586217701250285,-0.671869029892545,0.5765299516035367,-0.7831980260050208,-0.8434365081691563,-0.7540924486625109,0.810357905047805,-0.7844707862490995,-1.341545995741212,-0.7664596246651639,0.6205395709430637
128,0,0.296875,38,3.166167955484347,-0.4438040850634859,0.8817264333982603,-0.7520866352407837,-0.6991017399019374,-0.4303513706203297,0.4132264261717616,-0.8125991529029026,-0.5548954131834004,-1.0959772792407123,1.436156070339567,-0.6365259332639608,-0.7037901054493193
128,0,0.40625,52,2.461547643374876,-1.4956320337178313,1.2721816326916469,-0.3533217203499753,-0.32723026779046105,-1.038312864951144,0.6364708126368591,-0.6085957145582308,-0.7066400424473451,-1.0642806834894163,1.4537123662526372,-0.5391567715913279,-0.6512455990513013
128,0,0.53125,68,2.7760612472112727,-0.9512965217751812,1.1918808602045436,-0.658284777818048,-0.3868242678290749,-0.35251364426783016,0.977721750773768,-0.8013800963485751,-0.6213426023218154,-0.4990440096144061,0.28392337925345845,-0.7518601610656759,-0.01019779838884978
128,0,0.5859375,75,3.092895415562044,0.11918429801339885,-1.0651791431950468,0.8545536561885071,0.744675739841156,0.9820796296646634,-0.7612110409402147,0.5450302078465499,0.0694161122685631,0.7613256939073383,-1.3779167238019248,0.6349665116571767,0.6584631317173301
128,0,0.53125,68,3.31902514002307,-0.7340041097880008,-1.2027850405592595,-0.7231524185445996,0.6577446761202229,-1.0347808490093786,-0.3584022195184256,-0.31690093710396683,0.02444792579884046,-1.343244394902234,1.2291150979945058,-0.45828336948837967,-0.8933868847129471
128,0,0.515625,66,2.6499540837627005,-0.4214783464001874,-0.089412105224948,-0.5176987866707127,0.10397322659767788,-0.9235398604072216,1.0679882248505843,-0.7390048467824453,-0.727804955311585,-0.7889128123340384,1.1689085486301,-0.6691989055492669,-0.707889399844892
